workerid,nonliteral,happy1,sad1,amuse1,content1,disapp1,anger1,regret1,happy2,sad2,amuse2,content2,disapp2,anger2,regret2,response1ReactionTime,response2ReactionTime,freeResponseReactionTime,consent,ventingResponseLength,ventingResponse,gender,age,nativeLanguage
1,0,1,1,1,1,4,6,3,1,1,1,1,4,8,2,14790,6769,45109,0,258,I felt angry because someone keeps rubbing doodoo all over my car door handles. I have no idea who the shit bandit is; but they are sick.  I have no idea what their problem is.  I have no enemies so I guess it must just be some bored kids.  Still it's nasty.,M,32,en
2,1,7,6,5,6,7,7,7,5,6,6,6,7,6,6,8644,10339,66305,1,274,Basically my supervisor took over. He loved to make me feel really low. He loved showing his own agenda. At any chance he would belittle me. It made me feel really awkard. I almost complained on him it got so bad. In the end we became friends and he stopped doing it as much,M,28,english
3,0,3,5,2,3,6,8,6,2,6,3,4,6,8,5,16463,10527,99124,1,271,I was angry when I ordered a pizza from a pizza place and they gave me the wrong pizza. I wanted the works and they gave me pepperoni. I was too hungry so I paid for it. It was pretty incompetent of the. I still gave the driver a tip though. It was pretty anger inducing.,M,25,English
4,0,2,2,3,3,5,6,6,2,6,2,5,7,8,8,14362,17315,57034,1,339,I had a typical disagreement with a coworker. I thought we should do things one way because that's how I was trained. My coworker thought that he knew a better way. We would both be in trouble if we did not get it right. I did not want to get in trouble. I felt like we should just do the task as we were trained to do. This made me angry.,M,27,English
5,0,1,3,1,1,4,8,6,2,3,1,4,3,4,4,13762,18326,96428,1,272,I had a roommate that smoked. I had quit and he he absolutely refused to smoke somewhere other than the main living area. He could have gone out the back door or in his room but noooo... he had to smoke in the living room. I finally decided to move but he moved out first.,M,55,english
6,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,13276,6922,86643,1,252,I unexpectedly had to make out a schedule for an area of the store that was not normally mine; and asked the department manager for input and she thought she was too cool to help me.  Then later she complained to me bosses about the schedule I created.,M,36,english
7,1,1,7,1,1,7,9,4,6,1,4,4,3,6,3,21914,20137,125683,0,364,My girlfriend was being so nice to me; she thanked me for all of the great things I was doing for her like buying her flowers; taking her out to dinner; treating her like a queen. She was just SO happy that I was doing so many generous things for her that she didn't get upset at all when I locked her keys in her car on accident. Like come on! Accidents happen...,M,22,English
8,1,3,3,5,5,5,5,4,3,4,5,6,6,6,6,9229,6156,67049,0,306,I felt angry because I had no money. After the fight I was robbed. I did not have anything on me. I woke up at the bar in the morning and I was angry at myself for doing such a thing and getting drunk at the bar; It was a horrible experience. Never drink again; that is the key to avoiding this situation. ,M,25,English
9,1,1,5,1,1,5,9,5,3,2,5,3,3,5,4,15902,13759,69654,1,266,My girlfriend asks me to buy this special organic milk; and makes a big deal about it when I don't.  Not like I'm the one paying for it or anything.  Half the time it ends up spoiling because she doesn't even bother drinking it.  She sure is helping the environment.,M,28,english
10,1,2,6,3,1,9,8,5,1,5,6,1,6,6,3,28865,21028,125175,1,255,My 5 year-old cousin was being the SWEETEST and most COOPERATIVE kid ever when he wouldn't stop throwing toys. It was really charming. Even though I didn't want to I was yelling at him; which just made him scream at me; it was really fun times all around.,F,30,English
11,1,4,3,2,3,5,8,5,2,3,2,2,4,8,4,15489,14296,133581,0,344,I went into work one day and they had some issues with a computer out in the warehouse.  Of course it was that group that was having problems.  They blamed me for the issues because of an update I applied.  Because they know SO much about what I do.  I was angry and fixed the problem.  Wow; turns out it wasn't my fault who would have thought!,M,28,English
